PESQUISADOR,DESCRIÇÃO
Antonio Misson Godoy,"Ana Flávia da Silva Araújo.
						Rochas cálcio - silicatadas da Folha Araçaíba.
						2020.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Nicolli Ochi Duarte.
						GEOLOGIA E PETROGRAFIA DAS ROCHAS GRANÍTICAS DA REGIÃO DAS FOLHAS TOPOGRÁFICA DE RIBEIRÃO BRANCO, GUAPIARA E CAPÃO BONITO, SUDOESTE DO ESTADO DE SÃO PAULO..
						2019.
						Iniciação Científica. (Graduando em Geociências)  - Instituto de Geociências e Ciências Exatas de Rio Claro,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Giulia de Vincenzo Rafael.
						GEOLOGIA E PETROGRAFIA DAS ROCHAS GRANÍTICAS DA REGIÃO DAS FOLHAS TOPOGRÁFICA DE RIBEIRÃO BRANCO, GUAPIARA E CAPÃO BONITO, SUDOESTE DO ESTADO DE SÃO PAULO..
						2018.
						Iniciação Científica. (Graduando em Geologia)  - Instituto de Geociências e Ciências Exatas,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Suelen Portuglesi da Mata.
						INVESTIGAÇÃO GEOLÓGICA E PETROGRÁFICA DA REGIÃO DE RIBEIRÃO BRANCO SUDOESTE DO ESTADO DE SÃO PAULO.
						2017.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Cleberson Ernandes de Andrade.
						Investigação Geológica das Rochas Graníticas dos Maciços do Bairro dos Correas e Campina do Veado, Sudoeste do Estado de São Paulo..
						2015.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Cleberson Ernandes de Andrade.
						Investigação Geológica das Rochas Graníticas dos Maciços do Bairro dos Correas e Campina do Veado, Sudoeste do Estado de São Paulo..
						2014.
						Iniciação Científica. (Graduando em Geologia)  - Instituto de Geociências e Ciências Exatas,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Otávio Augusto Ruiz Paccola Vieira.
						INVESTIGAÇÃO GEOLÓGICA E PETROGRÁFICA DAS ROCHAS GRANÍTICAS DO MACIÇO CAPÃO BONITO, SUDOESTE DO ESTADO DE SÃO PAULO.
						2014.
						Iniciação Científica. (Graduando em Geologia)  - Instituto de Geociências e Ciências Exatas,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Otávio Augusto Ruiz Paccola Vieira.
						INVESTIGAÇÃO GEOLÓGICA E PETROGRÁFICA DAS ROCHAS GRANÍTICAS DO MACIÇO CAPÃO BONITO, SUDOESTE DO ESTADO DE SÃO PAULO.
						2013.
						Iniciação Científica - Instituto de Geociências e Ciências Exatas de Rio Claro,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Cleberson Ernandes de ANDRADE.
						Investigação Geológica das Rochas Graníticas dos Maciços do Bairro dos Correas e Campina do Veado, Sudoeste do Estado de São Paulo..
						2013.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
Antonio Misson Godoy,"Otávio Augusto Ruiz Paccola VIEIRA.
						Investigação Geológica e Petrográfica das Rochas Graníticas do Maciço Capão Bonito, Sudoeste do Estado de São Paulo..
						2012.
						Iniciação Científica. (Graduando em Geologia)  - Universidade Estadual Paulista Júlio de Mesquita Filho,
						Conselho Nacional de Desenvolvimento Científico e Tecnológico. Orientador: Antonio Misson Godoy."
